count,label,latitude,longitude,name
1,Alessandria 1,44.9072727,8.6116796,"Alessandria, ITALY"
6,Ancona 6,43.6158299,13.518915,"Ancona, ITALY"
2,Aosta 2,45.7349551,7.3130762,"Aosta, ITALY"
1,Arezzo 1,43.4632839,11.8796336,"Arezzo, ITALY"
3,Ascoli Piceno 3,42.8536043,13.5749442,"Ascoli Piceno, ITALY"
3,Avellino 3,40.914388,14.7906121,"Avellino, ITALY"
1,Bari 1,41.1171432,16.8718715,"Bari, ITALY"
2,Bergamo 2,45.6982642,9.6772698,"Bergamo, ITALY"
2,Biella 2,45.5628842,8.0583397,"Biella, ITALY"
6,Bologna 6,44.494887,11.3426162,"Bologna, ITALY"
1,Bolzano 1,46.4982953,11.3547582,"Bolzano, ITALY"
7,Brescia 7,45.5415526,10.2118019,"Brescia, ITALY"
1,Cagliari 1,39.2238411,9.1216613,"Cagliari, ITALY"
2,Caserta 2,41.0854362,14.367553,"Caserta, ITALY"
3,Catania 3,37.5078772,15.0830304,"Catania, ITALY"
2,Catanzaro 2,38.9097919,16.5876516,"Catanzaro, ITALY"
2,Chieti 2,42.347886,14.1635845,"Chieti, ITALY"
4,Como 4,45.8080597,9.0851765,"Como, ITALY"
1,Cosenza 1,39.2982629,16.2537357,"Cosenza, ITALY"
2,Cuneo 2,44.3844766,7.5426711,"Cuneo, ITALY"
2,Fermo 2,43.1588734,13.7200884,"Fermo, ITALY"
11,Firenze 11,43.7695604,11.2558136,"Firenze, ITALY"
1,Foggia 1,41.4621984,15.5446302,"Foggia, ITALY"
4,Forli-Cesena 4,43.9947681,11.9804613,"Forli-Cesena, ITALY"
1,Frosinone 1,41.6576528,13.6362715,"Frosinone, ITALY"
1,Genova 1,44.4056499,8.946256,"Genova, ITALY"
1,Latina 1,41.4675671,12.9035965,"Latina, ITALY"
1,Lecce 1,40.3515155,18.1750161,"Lecce, ITALY"
1,Lecco 1,45.8565698,9.3976704,"Lecco, ITALY"
2,Lucca 2,43.8429197,10.5026977,"Lucca, ITALY"
4,Macerata 4,43.2984268,13.4534767,"Macerata, ITALY"
1,Matera 1,40.666379,16.6043199,"Matera, ITALY"
24,Milano 24,45.4642035,9.189982,"Milano, ITALY"
7,Modena 7,44.647128,10.9252269,"Modena, ITALY"
11,Napoli 11,40.8517983,14.26812,"Napoli, ITALY"
2,Novara 2,45.44693,8.6221612,"Novara, ITALY"
7,Padova 7,45.4064349,11.8767611,"Padova, ITALY"
1,Palermo 1,38.11569,13.3614868,"Palermo, ITALY"
2,Parma 2,44.801485,10.3279036,"Parma, ITALY"
14,Perugia 14,43.1107168,12.3908279,"Perugia, ITALY"
3,Pesaro Urbino 3,43.6130118,12.7135121,"Pesaro Urbino, ITALY"
1,Pescara 1,42.4617902,14.2160898,"Pescara, ITALY"
2,Piacenza 2,45.0526206,9.6929845,"Piacenza, ITALY"
2,Pisa 2,43.7228386,10.4016888,"Pisa, ITALY"
3,Pistoia 3,43.9303475,10.9078587,"Pistoia, ITALY"
3,Pordenone 3,45.9563684,12.661452,"Pordenone, ITALY"
2,Prato 2,43.8777049,11.102228,"Prato, ITALY"
1,Ravenna 1,44.4183598,12.2035294,"Ravenna, ITALY"
1,Reggio Calabria 1,38.1113006,15.6472914,"Reggio Calabria, ITALY"
1,Reggio Emilia 1,44.6989932,10.6296859,"Reggio Emilia, ITALY"
3,Rimini 3,44.0678288,12.5695158,"Rimini, ITALY"
19,Roma 19,41.9027835,12.4963655,"Roma, ITALY"
1,Rovigo 1,45.0698118,11.7902158,"Rovigo, ITALY"
6,Salerno 6,40.6824408,14.7680961,"Salerno, ITALY"
2,Siena 2,43.318809,11.3307574,"Siena, ITALY"
1,Taranto 1,40.4643606,17.2470303,"Taranto, ITALY"
1,Teramo 1,42.6611431,13.6986639,"Teramo, ITALY"
4,Torino 4,45.0703393,7.686864,"Torino, ITALY"
5,Trento 5,46.0747793,11.1217486,"Trento, ITALY"
7,Treviso 7,45.6668893,12.2430437,"Treviso, ITALY"
5,Udine 5,46.0710668,13.2345794,"Udine, ITALY"
6,Varese 6,45.8205989,8.8250576,"Varese, ITALY"
2,Venezia 2,45.4408474,12.3155151,"Venezia, ITALY"
12,Verona 12,45.4383842,10.9916215,"Verona, ITALY"
5,Vicenza 5,45.5454787,11.5354214,"Vicenza, ITALY"